method,seed,query,ro,parent_r2,child_r2
BIF-UCB (hot),2402697,15,0.8910748400490311,0.5576663337416261,0.48724631090515674
BIF-UCB (hot),2402697,16,0.8910748400490311,0.555446483130057,0.45157767010155786
BIF-UCB (hot),2402697,17,0.9594260833180269,0.5606128746592344,0.48610163259608474
BIF-UCB (hot),2402697,18,0.9594260833180269,0.5871678374250451,0.4968373518049427
BIF-UCB (hot),2402697,19,0.9640728547446187,0.5939453386587343,0.5873703594755374
BIF-UCB (hot),6510749,0,0.6367588439615917,0.0199234461349148,0.4241649379508097
BIF-UCB (hot),6510749,1,0.94895077868039,0.03585511783891433,0.3606075079751425
BIF-UCB (hot),6510749,2,0.9529270924793768,0.1288760538670371,0.4001442023407711
BIF-UCB (hot),6510749,3,0.8982603383320003,0.1913043261728195,0.419687651777896
BIF-UCB (hot),6510749,4,0.9304729262558386,0.42737985675603146,0.45321293595889145
BIF-UCB (hot),6510749,5,0.8810019457889781,0.44898182815136345,0.30614061735025166
BIF-UCB (hot),6510749,6,0.8810019457889781,0.46885314374139186,0.3218716806251149
BIF-UCB (hot),6510749,7,0.9360414471105883,0.49772893320163614,0.37848257082437575
BIF-UCB (hot),6510749,8,0.9360414471105883,0.5139792252306121,0.4147817563796536
BIF-UCB (hot),6510749,9,0.9360414471105883,0.5208732530391511,0.3528418568186055
BIF-UCB (hot),6510749,10,0.9360414471105883,0.5486454475951419,0.4061583754413278
BIF-UCB (hot),6510749,11,0.9360414471105883,0.5470850725144736,0.4401860255792523
BIF-UCB (hot),6510749,12,0.9562200408968768,0.5724020932480872,0.41378979271634686
BIF-UCB (hot),6510749,13,0.9562200408968768,0.587827216722624,0.5745016073890961
BIF-UCB (hot),6510749,14,0.9562200408968768,0.5878776476704867,0.6110301139167392
BIF-UCB (hot),6510749,15,0.9562200408968768,0.587329390815361,0.6161636396499037
BIF-UCB (hot),6510749,16,0.9562200408968768,0.5874994461879539,0.6379198958978836
BIF-UCB (hot),6510749,17,0.9562200408968768,0.5907782468632864,0.645412713887052
BIF-UCB (hot),6510749,18,0.9562200408968768,0.594205095660714,0.647316977197187
BIF-UCB (hot),6510749,19,0.9674251362257318,0.5945565908827969,0.6474100441375281
BIF-UCB (hot),758529,0,0.9309004731360817,0.008851970757263045,0.42060762060753215
BIF-UCB (hot),758529,1,0.9305074889469952,0.021831322699309038,0.2567978774151401
BIF-UCB (hot),758529,2,0.9305074889469952,0.008703905089069652,0.25270128900989397
BIF-UCB (hot),758529,3,0.9716551849122617,0.009925268068127293,0.12205896364613028
BIF-UCB (hot),758529,4,0.9716551849122617,0.06534418962189101,0.165304720747336
BIF-UCB (hot),758529,5,0.9767183262625381,0.08851606887576204,0.18757032173667654
BIF-UCB (hot),758529,6,0.8989950218541121,0.05291802392203576,0.21356456842119856
BIF-UCB (hot),758529,7,0.980467432971412,0.19643561732461798,0.19437938240574895
BIF-UCB (hot),758529,8,0.9723587939655138,0.30716484777405634,0.5631916015079618
BIF-UCB (hot),758529,9,0.8898494488582143,0.34821860873504873,0.5520272623822267
BIF-UCB (hot),758529,10,0.8898494488582143,0.39514744987515726,0.5520138032696689
BIF-UCB (hot),758529,11,0.8898494488582143,0.39998213341674166,0.5411433097924252
BIF-UCB (hot),758529,12,0.8950288199056391,0.44243975806379915,0.5068473884580417
BIF-UCB (hot),758529,13,0.8950288199056391,0.4536997558761534,0.4867608308644845
BIF-UCB (hot),758529,14,0.8950288199056391,0.45986942856636936,0.5179000003024966
BIF-UCB (hot),758529,15,0.9686236468027407,0.4609899026369039,0.5147395622764379
BIF-UCB (hot),758529,16,0.9686236468027407,0.44378197451654255,0.4981462707448888
BIF-UCB (hot),758529,17,0.9686236468027407,0.5052595361877074,0.49204858210488395
BIF-UCB (hot),758529,18,0.9686236468027407,0.5032099326666121,0.5172082669341416
BIF-UCB (hot),758529,19,0.9686236468027407,0.5092320641310311,0.5197045112002491
BIF-UCB (hot),3523986,0,0.90402675588989,0.00083054757139379,0.3248927152069128
BIF-UCB (hot),3523986,1,0.9304729262558386,0.15227315009250753,0.17960734183792015
BIF-UCB (hot),3523986,2,0.9310488024666578,0.20157330855940073,0.062157980717505834
BIF-UCB (hot),3523986,3,0.9310488024666578,0.28666843753633847,0.12530837110713433
BIF-UCB (hot),3523986,4,0.926554547568781,0.41217589577505037,0.12568081949679943
BIF-UCB (hot),3523986,5,0.9610978604522558,0.5585225107708319,0.177363181502774
BIF-UCB (hot),3523986,6,0.9277939049626113,0.5582399216672033,0.40140459365232667
BIF-UCB (hot),3523986,7,0.9277939049626113,0.561641875836914,0.4108528595085941
BIF-UCB (hot),3523986,8,0.9657973346573312,0.605431558341887,0.4778405052620708
BIF-UCB (hot),3523986,9,0.962214005047431,0.6470833073465521,0.578419425069884
BIF-UCB (hot),3523986,10,0.9236458760984505,0.6407209662526174,0.6011411456949068
BIF-UCB (hot),3523986,11,0.9236458760984505,0.529714592442591,0.5819070198519931
BIF-UCB (hot),3523986,12,0.966074801438937,0.5407364462434884,0.5604998429137221
BIF-UCB (hot),3523986,13,0.966074801438937,0.5386204276636707,0.5405751908788119
BIF-UCB (hot),3523986,14,0.966074801438937,0.531341959492323,0.38148730903157285
BIF-UCB (hot),3523986,15,0.9770104515660867,0.5641490924065727,0.5926146927984968
BIF-UCB (hot),3523986,16,0.9795254465284013,0.5526377703639412,0.3614687568419056
BIF-UCB (hot),3523986,17,0.9795254465284013,0.5512036086826135,0.47758404319311265
BIF-UCB (hot),3523986,18,0.9795254465284013,0.5460204982913196,0.3578190450224306
BIF-UCB (hot),3523986,19,0.9795254465284013,0.4585265611650579,0.329195178646414
BIF-UCB (hot),3224638,0,0.567173868390065,0.02786883006924588,0.36597097696085235
BIF-UCB (hot),3224638,1,0.974519541314212,0.05309116478488938,0.271167303729177
BIF-UCB (hot),3224638,2,0.8874157747424267,0.011166778598988993,0.5502327928432251
BIF-UCB (hot),3224638,3,0.9236458760984505,0.02719186788944968,0.5568533309633341
BIF-UCB (hot),3224638,4,0.9525152559132957,0.19604215532459754,0.5621403929638338
BIF-UCB (hot),3224638,5,0.8939161701896735,0.22331849172213472,0.5211397441998407
BIF-UCB (hot),3224638,6,0.8939161701896735,0.25468792632413867,0.4945497098825276
BIF-UCB (hot),3224638,7,0.8939161701896735,0.3007575557785458,0.5707632549096886
BIF-UCB (hot),3224638,8,0.9277939049626113,0.3180123770611437,0.5529289911663442
BIF-UCB (hot),3224638,9,0.9277939049626113,0.3766962906669772,0.558341102543413
BIF-UCB (hot),3224638,10,0.9277939049626113,0.29601905873683454,0.5461054129074191
BIF-UCB (hot),3224638,11,0.9092015736089728,0.4734539483461232,0.5040165906137591
BIF-UCB (hot),3224638,12,0.9361014791500433,0.48919211779480476,0.4067565012410033
BIF-UCB (hot),3224638,13,0.9361014791500433,0.5438983868360797,0.5463722009571014
BIF-UCB (hot),3224638,14,0.9361014791500433,0.5619225089663541,0.47563134003064794
BIF-UCB (hot),3224638,15,0.9361014791500433,0.5791471440755956,0.396258386124227
BIF-UCB (hot),3224638,16,0.9317845244671634,0.41459567321250435,0.3890360185262868
BIF-UCB (hot),3224638,17,0.93489005416224,0.39272748411711567,0.39853505341628426
BIF-UCB (hot),3224638,18,0.93489005416224,0.35471554721463616,0.40621749353659214
BIF-UCB (hot),3224638,19,0.9298726324889404,0.309702641416714,0.4260323044809177
BIF-UCB (hot),9729091,0,0.9525152559132957,0.002966512751790996,0.4755324522422031
BIF-UCB (hot),9729091,1,0.9236458760984505,0.11130073705965178,0.450154319606874
BIF-UCB (hot),9729091,2,0.9179925461748767,0.15923438898523543,0.38022105288349073
BIF-UCB (hot),9729091,3,0.9179925461748767,0.058216792215876494,0.30709981144899073
BIF-UCB (hot),9729091,4,0.9632865268931554,0.02349706250076805,0.25642704263069344
BIF-UCB (hot),9729091,5,0.6346979170200377,0.07565070212409102,0.2582679514126686
BIF-UCB (hot),9729091,6,0.9549475387343122,0.14360183131404575,0.44719200324127284
BIF-UCB (hot),9729091,7,0.9361014791500433,0.21534448265208225,0.45830273916607367
BIF-UCB (hot),9729091,8,0.3544690491633246,0.4009109078729685,0.4715827251697468
BIF-UCB (hot),9729091,9,0.9203742164880226,0.4866473986763334,0.3642724638862742
BIF-UCB (hot),9729091,10,0.9203742164880226,0.45195129370785075,0.4826561244884587
BIF-UCB (hot),9729091,11,0.9203742164880226,0.5163452603217632,0.46343737969181453
BIF-UCB (hot),9729091,12,0.9179925461748767,0.502470811497004,0.29460160016525266
BIF-UCB (hot),9729091,13,0.9203742164880226,0.5058500382254111,0.49665980344515465
BIF-UCB (hot),9729091,14,0.93489005416224,0.23811645846562585,0.45082521199879744
BIF-UCB (hot),9729091,15,0.8923372303610821,0.26287882958155845,0.31419047167767905
BIF-UCB (hot),9729091,16,0.8923372303610821,0.25330728839921923,0.30632169882667737
BIF-UCB (hot),9729091,17,0.9298726324889404,0.2335714263240842,0.28596757739679673
BIF-UCB (hot),9729091,18,0.9298726324889404,0.2087370895311223,0.30014144727253034
BIF-UCB (hot),9729091,19,0.9298726324889404,0.18808779269586867,0.3222114972622081
BIF-UCB (hot),5830471,0,0.9525152559132957,0.004185793443576233,0.3820248497101107
BIF-UCB (hot),5830471,1,0.9236458760984505,0.07435213713122492,0.35146529743508603
BIF-UCB (hot),5830471,2,0.8878457713665732,0.0974651103338514,0.29552388838642185
BIF-UCB (hot),5830471,3,0.9277939049626113,0.15013453915155459,0.5115280843915879
BIF-UCB (hot),5830471,4,0.9277939049626113,0.1370835703979634,0.46497077595266423
BIF-UCB (hot),5830471,5,0.9271782470410156,0.16908808417540439,0.34873227446125865
BIF-UCB (hot),5830471,6,0.9271782470410156,0.18719441336458392,0.44561035644125296
BIF-UCB (hot),5830471,7,0.9271782470410156,0.2681856442987671,0.3941503381183735
BIF-UCB (hot),5830471,8,0.9271782470410156,0.2515202778596652,0.49344595363155785
BIF-UCB (hot),5830471,9,0.9343166276953241,0.2767467659815158,0.3951354018523105
BIF-UCB (hot),5830471,10,0.9343166276953241,0.31313818799330834,0.377404769386407
BIF-UCB (hot),5830471,11,0.9343166276953241,0.3314046262710872,0.3703199417534525
BIF-UCB (hot),5830471,12,0.9286887671200486,0.4998916677570923,0.36119007216557897
BIF-UCB (hot),5830471,13,0.9320679225580567,0.5222693075851002,0.3620776803942704
BIF-UCB (hot),5830471,14,0.9320679225580567,0.553053028623354,0.3508162194249364
BIF-UCB (hot),5830471,15,0.9320679225580567,0.5604447248355835,0.4104881869951105
BIF-UCB (hot),5830471,16,0.9320679225580567,0.576076864479576,0.4692143996122406
BIF-UCB (hot),5830471,17,0.9320679225580567,0.5869244129438115,0.43681302079875317
BIF-UCB (hot),5830471,18,0.9320679225580567,0.6033686739821125,0.4911271668463965
BIF-UCB (hot),5830471,19,0.9322609330872157,0.634891339770813,0.48569049752514293
BIF-UCB (hot),5343420,0,0.31743935938557866,0.05138524290226205,0.5190237859846292
BIF-UCB (hot),5343420,1,0.9672534211605577,0.09041509411757527,0.4895656988640945
BIF-UCB (hot),5343420,2,0.9207298553964104,0.0220572068623205,0.32086090797967304
BIF-UCB (hot),5343420,3,0.9583514712016894,0.1264572407049974,0.40150421450912527
BIF-UCB (hot),5343420,4,0.9017386152013106,0.07645281300544868,0.4180774169986776
BIF-UCB (hot),5343420,5,0.9027901943994274,0.24668292391186344,0.40533371901040144
BIF-UCB (hot),5343420,6,0.9672171210151653,0.37060619300257364,0.5781895422296319
BIF-UCB (hot),5343420,7,0.9027901943994274,0.37981638358030045,0.61451780698984
BIF-UCB (hot),5343420,8,0.9232668447985519,0.38823151654171195,0.604392493239241
BIF-UCB (hot),5343420,9,0.9235282484496183,0.45466598828926913,0.6089347412159382
BIF-UCB (hot),5343420,10,0.8939161701896735,0.46463847513174117,0.6150639620366789
BIF-UCB (hot),5343420,11,0.9620248422138591,0.47162957906711783,0.6103939162928678
