method,seed,query,ro,parent_r2,child_r2
BIF (hot),2402697,13,0.9723587939655138,0.5264460576332455,0.26088200593770283
BIF (hot),2402697,14,0.9723587939655138,0.5253240249969915,0.3021330672844188
BIF (hot),2402697,15,0.9723587939655138,0.5263635696611598,0.2525389622243099
BIF (hot),2402697,16,0.9559415289799644,0.5342634820260904,0.3009218754745322
BIF (hot),2402697,17,0.9343166276953241,0.5286793812586127,0.28627792060567686
BIF (hot),2402697,18,0.9940887513192004,0.526454039320067,0.2919952826486021
BIF (hot),2402697,19,0.9940887513192004,0.5257728788053878,0.28519377132517965
BIF (hot),6510749,0,0.5102280269554907,0.0,0.0
BIF (hot),6510749,1,0.9449967988237821,0.1683140239888597,0.33628139662240647
BIF (hot),6510749,2,0.9647593621889378,0.10309830119264567,0.27146853371849206
BIF (hot),6510749,3,0.9680945420611176,0.11478295409430515,0.48309434481111235
BIF (hot),6510749,4,0.9680945420611176,0.2166176711506334,0.30085699472133165
BIF (hot),6510749,5,0.9562127116359054,0.37486103307427915,0.3055222242797304
BIF (hot),6510749,6,0.8950288199056391,0.45175532579520866,0.4843347996431733
BIF (hot),6510749,7,0.8950288199056391,0.48304761516471073,0.41839015943396063
BIF (hot),6510749,8,0.8898494488582143,0.47125050996072904,0.40422498411801167
BIF (hot),6510749,9,0.9562127116359054,0.4637414721894298,0.48083846179365897
BIF (hot),6510749,10,0.9562127116359054,0.5016925378997783,0.5125574276713714
BIF (hot),6510749,11,0.9562127116359054,0.49561836904880846,0.5309833880158488
BIF (hot),6510749,12,0.9562127116359054,0.48507710918696306,0.5212893655253935
BIF (hot),6510749,13,0.9562127116359054,0.4964899514762447,0.5036318609332662
BIF (hot),6510749,14,0.9562127116359054,0.487732011356516,0.4689828819877099
BIF (hot),6510749,15,0.9562127116359054,0.5072634120495342,0.5187849667817006
BIF (hot),6510749,16,0.9630847958082539,0.5289931954156475,0.4964711867508089
BIF (hot),6510749,17,0.9630847958082539,0.5325836006808657,0.680147001981462
BIF (hot),6510749,18,0.9630847958082539,0.5411861301527019,0.6861189730799512
BIF (hot),6510749,19,0.9640201519661352,0.5267358432130627,0.6754671032951358
BIF (hot),758529,0,0.9781025181077347,0.0,0.0
BIF (hot),758529,1,0.417248636171651,0.1839214922215979,0.32040942284499846
BIF (hot),758529,2,0.0,0.4595930630377085,0.3546635422191469
BIF (hot),758529,3,0.8906860364011707,0.3712232161318034,0.24755138010742883
BIF (hot),758529,4,0.9670806543031643,0.43984223001473205,0.18671323816617408
BIF (hot),758529,5,0.8992414208237711,0.44349901217771104,0.1593164023157978
BIF (hot),758529,6,0.8950288199056391,0.46289632901634437,0.23311544741666745
BIF (hot),758529,7,0.9027901943994274,0.4369200345853566,0.1840667958301922
BIF (hot),758529,8,0.9232668447985519,0.43645480550637633,0.16587147420544646
BIF (hot),758529,9,0.9232668447985519,0.4956684976975627,0.271251648513111
BIF (hot),758529,10,0.9232668447985519,0.4910729047704279,0.31505423875411404
BIF (hot),758529,11,0.9742110133775722,0.51846320039769,0.3423998581775657
BIF (hot),758529,12,0.9672171210151653,0.5190704626559857,0.3522943445032005
BIF (hot),758529,13,0.9672171210151653,0.5201677087569642,0.4022878737635183
BIF (hot),758529,14,0.981324264186134,0.514907868371144,0.43314831695656547
BIF (hot),758529,15,0.9672171210151653,0.5017888261092726,0.41849679018248603
BIF (hot),758529,16,0.9619812128074955,0.49806977727704393,0.41420569748507574
